feature,selected,consensus_rank,consensus_score,mutual_info,mutual_info_rank,anova_f,anova_rank,rfe_rank,rfe_selected
exudate_burden_score,True,39,98.0,0.11078807233503163,48,94.7252904018496,49,1,True
lbp_mean,True,40,101.0,0.10058334365255694,58,103.80284950103282,42,1,True
local_texture_variance_mean,True,41,103.0,0.09859795352082479,61,108.78230174055177,38,4,False
hard_exudate_distance_to_optic_disc_mean,True,42,104.0,0.10481454990702499,53,93.77006830293888,50,1,True
stage_progression_score,True,43,105.0,0.11093545118969317,47,85.62240781851287,57,1,True
hsv_v_min,True,44,109.0,0.231408864672896,7,33.29945934931532,101,1,True
hard_exudate_count,True,45,111.0,0.08617125908266088,80,143.57260715238803,28,3,False
quality_snr,True,46,113.0,0.09333195967112706,69,102.4368113084024,43,1,True
lesion_density_score,True,47,115.0,0.1198459838261261,38,67.66489004934859,76,1,True
superior_lesion_density,True,48,118.0,0.11171272837438417,45,72.5561590805316,70,3,False
lab_color_l_std,True,49,121.0,0.13596369310577128,29,53.02734484723847,88,4,False
vessel_area_ratio,True,50,121.0,0.09907931920581392,59,81.95931303148782,61,1,True
vessel_density,True,51,121.0,0.09884216383644873,60,81.95931303148782,60,1,True
texture_std,True,52,121.0,0.09117450680957662,72,98.37974088907748,45,4,False
vessel_fragmentation_index,True,53,127.0,0.08959454728300642,73,93.71862751967596,51,3,False
lab_color_b_max,True,54,127.0,0.12601770783454258,35,52.38483521818662,89,3,False
lab_color_b_entropy,True,55,128.0,0.08160337380416216,88,107.94815327870609,39,1,True
texture_variance,True,56,130.0,0.09131363193517972,71,86.5187682092341,56,3,False
advanced_dr_indicator_score,True,57,131.0,0.11868457317074954,39,49.387377155450764,90,2,False
hsv_s_entropy,True,58,132.0,0.14253876947086663,25,29.270328469172043,106,1,True
hsv_v_std,True,59,132.0,0.13545876625747422,30,33.9394088370721,99,3,False
rgb_r_std,True,60,132.0,0.1300468974054909,33,35.754018138422246,98,1,True
glcm_contrast,True,61,133.0,0.09625857624781808,65,76.61171539427782,65,3,False
quality_contrast,True,62,135.0,0.09833057406416224,62,74.43726066970977,68,5,False
